LoggerLight version 1.3.0, 7/9/2018 1:48:24 PM, rapid sampling mode. Time is number of seconds past midnight of 7/9/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.735726E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
49704.42,7.620266,39.01278,98.75296,2377.926,25.53839,0.0620731,9.638247,23.12891,5.48539,28.32465,71.00375,1664.584,9.617018,24.59375,
49704.72,7.710235,39.43885,99.90358,2409.652,25.5269,6.449405E-02,9.638247,23.12891,5.482413,28.31893,70.95071,1662.91,9.617018,24.59375,
49705.02,7.759056,39.68513,100.5566,2425.488,25.55693,0.0232411,9.638247,23.12891,5.485981,28.33541,71.00108,1663.995,9.617018,24.59375,
49705.31,7.608572,38.94075,98.77161,2384.305,25.59266,2.948714E-02,9.638247,23.12891,5.482347,28.31575,70.92107,1662.498,9.617018,24.59375,
49705.61,7.773925,39.78699,100.7781,2428.829,25.57602,2.914821E-02,9.638247,23.12891,5.475209,28.27232,70.85789,1660.794,9.617018,24.59375,
49705.93,7.618398,38.96032,98.54815,2374.107,25.5426,1.999703E-02,9.638247,23.12891,5.478066,28.28958,70.86779,1660.52,9.617018,24.59375,
49706.25,7.576187,38.83114,98.16543,2359.978,25.55304,5.529445E-02,9.638247,23.12891,5.477992,28.28996,70.8666,1660.306,9.617018,24.59375,
49706.52,7.705705,39.35398,99.43951,2394.623,25.55971,5.916796E-02,9.638247,23.12891,5.478596,28.29216,70.87534,1660.731,9.617018,24.59375,
49706.82,7.659041,39.20494,99.00344,2380.951,25.55244,5.902271E-02,9.638247,23.12891,5.481599,28.30411,70.86231,1660.505,9.617018,24.59375,
49707.14,7.769896,39.75608,100.2445,2409.401,25.59388,3.786362E-02,9.638247,23.12891,5.492376,28.3571,70.99654,1663.469,9.638247,24.59375,
49707.43,7.527573,38.55324,97.24939,2335.656,25.56565,3.844465E-02,9.638247,23.12891,5.494837,28.38323,71.15787,1667.858,9.617018,24.59375,
