LoggerLight version 1.3.0, 7/17/2018 8:45:05 AM, rapid sampling mode. Time is number of seconds past midnight of 7/17/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.478472E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
31505.74,2.731839E-02,1.142479,3.816471,74.11044,23.99493,2.987449E-02,9.638247,19.71094,1.912541E-02,0.9085582,3.158741,61.02721,9.595788,20.19922,
31506.02,2.685938E-02,1.141785,3.814056,73.96873,24.13784,2.721145E-02,9.638247,19.71094,1.892535E-02,0.9052224,3.151708,60.97096,9.617018,20.19922,
31506.34,2.724791E-02,1.152213,3.846656,74.62112,24.29166,-4.406125E-03,9.638247,19.71094,1.894535E-02,0.9042269,3.144714,60.82887,9.595788,20.19922,
31506.63,2.747018E-02,1.167575,3.894567,75.57679,24.38465,2.193379E-02,9.638247,19.71094,1.924745E-02,0.9013432,3.134937,60.57074,9.595788,20.19922,
31506.93,2.764005E-02,1.172802,3.918679,75.9302,24.45942,4.585275E-02,9.638247,19.71094,1.914742E-02,0.8981391,3.126347,60.41029,9.595788,20.19922,
31507.24,2.752982E-02,1.172911,3.920515,75.95699,24.55325,1.743082E-02,9.638247,19.71094,1.870728E-02,0.8962452,3.117884,60.3061,9.617018,20.19922,
31507.53,2.807738E-02,1.169703,3.900712,75.59579,24.65265,1.307312E-02,9.638247,19.71094,1.856523E-02,0.893207,3.110762,60.15808,9.595788,20.19922,
31507.81,2.701118E-02,1.158922,3.871022,74.96502,24.66422,8.231223E-03,9.638247,19.71094,1.880331E-02,0.8913817,3.103104,59.9485,9.595788,20.19922,
31508.1,0.0272443,1.146387,3.829522,74.09921,24.69814,4.861263E-02,9.638247,19.71094,1.907539E-02,0.8885667,3.093684,59.83661,9.595788,20.19922,
31508.4,2.665518E-02,1.138135,3.804465,73.70951,24.72567,3.074604E-02,9.638247,19.71094,1.906339E-02,0.8861865,3.085477,59.5613,9.595788,20.19922,
31508.69,0.0270672,1.13753,3.804197,73.77691,24.69599,9.974305E-03,9.638247,19.71094,1.858324E-02,0.8839665,3.074053,59.33337,9.595788,20.19922,
31509,2.691359E-02,1.141901,3.814211,73.99725,24.73852,0.0584901,9.638247,19.71094,1.837917E-02,0.8793777,3.062451,59.09832,9.595788,20.19922,
31509.3,2.726959E-02,1.142526,3.823265,73.99812,24.78622,5.781223E-02,9.638247,19.71094,1.834716E-02,0.8760649,3.048155,58.86625,9.595788,20.19922,
31509.59,2.707081E-02,1.142336,3.813802,73.9359,24.78668,3.863833E-02,9.638247,19.71094,1.776498E-02,0.8744857,3.044964,58.82895,9.595788,20.19922,
31509.89,2.711599E-02,1.13668,3.798829,73.48399,24.7943,1.515513E-02,9.638247,19.71094,1.856923E-02,0.8726147,3.03959,58.67324,9.595788,20.19922,
31510.19,0.0270166,1.129455,3.777162,73.06664,24.79338,2.203062E-02,9.595788,19.71094,1.802706E-02,0.8698912,3.030796,58.58147,9.595788,20.19922,
31510.5,2.681601E-02,1.123384,3.751567,72.69335,24.7984,1.162055E-02,9.638247,19.71094,1.835516E-02,0.8676197,3.025371,58.44589,9.595788,20.19922,
31510.78,2.672927E-02,1.120394,3.738035,72.31834,24.78234,1.166897E-02,9.638247,19.71094,1.833916E-02,0.8669331,3.018619,58.30735,9.595788,20.19922,
31511.09,2.649073E-02,1.116961,3.730719,72.27254,24.80436,4.067192E-02,9.638247,19.71094,1.831915E-02,0.86453,3.01299,58.07113,9.595788,20.19922,
31511.38,2.588354E-02,1.115207,3.731114,72.31316,24.79248,4.362548E-02,9.638247,19.71094,1.799505E-02,0.8627678,3.006417,58.03502,9.595788,20.19922,
31511.66,2.659554E-02,1.115921,3.731962,72.33907,24.80708,2.328952E-02,9.595788,19.71094,1.823513E-02,0.8605821,2.996755,57.95272,9.595788,20.19922,
31511.97,2.573897E-02,1.114582,3.725888,72.08418,24.80034,2.454841E-02,9.638247,19.71094,1.812709E-02,0.8587168,2.992402,57.77392,9.595788,20.19922,
31512.27,2.638411E-02,1.111856,3.717187,71.91481,24.78449,4.16403E-03,9.638247,19.71094,1.793103E-02,0.8564053,2.987156,57.57204,9.595788,20.19922,
31512.57,2.567391E-02,1.107485,3.700802,71.63053,24.72936,2.111067E-02,9.638247,19.71094,1.843719E-02,0.8546945,2.980366,57.44534,9.595788,20.19922,
31512.86,2.621063E-02,1.102033,3.684629,71.36094,24.76596,2.987449E-02,9.638247,19.71094,1.736285E-02,0.8528979,2.973665,57.28667,9.595788,20.19922,
31513.16,2.592149E-02,1.09928,3.672298,71.15701,24.76115,1.113636E-02,9.638247,19.71094,1.803706E-02,0.8517936,2.965292,57.2624,9.595788,20.19922,
31513.46,2.595944E-02,1.095535,3.662623,70.88483,24.83771,2.154643E-02,9.638247,19.71094,1.772696E-02,0.8487669,2.95928,57.09485,9.595788,20.19922,
31513.75,2.585643E-02,1.095161,3.656648,70.68523,24.78469,3.428062E-02,9.595788,19.71094,1.780299E-02,0.8464038,2.952694,57.02084,9.595788,20.19922,
31514.05,5.563042E-02,1.12698,3.684644,70.60055,24.77478,3.118181E-02,9.638247,19.71094,4.056426E-02,0.8728836,2.966862,56.68101,9.595788,20.19922,
31514.36,2.810087E-02,1.091375,3.64063,70.3465,24.77612,4.115611E-02,9.638247,19.71094,2.028978E-02,0.8435659,2.928902,56.52057,9.595788,20.19922,
31514.66,2.566849E-02,1.084747,3.626873,70.11926,24.72003,4.435176E-02,9.638247,19.71094,1.712077E-02,0.8379071,2.921805,56.30447,9.595788,20.19922,
31514.96,2.507034E-02,1.08107,3.619471,69.9257,24.76712,9.054344E-03,9.638247,19.71094,1.742487E-02,0.8346973,2.914849,56.20974,9.595788,20.19922,
31515.25,2.540285E-02,1.077943,3.604852,69.65092,24.7391,1.791501E-02,9.638247,19.71094,1.727882E-02,0.8338047,2.908875,56.08837,9.595788,20.19922,
31515.54,2.515889E-02,1.074538,3.593905,69.57143,24.73229,5.340611E-02,9.638247,19.71094,1.693471E-02,0.831825,2.904012,55.96463,9.595788,20.19922,
31515.82,2.493119E-02,1.071818,3.588411,69.37269,24.77821,4.435176E-02,9.638247,19.71094,0.0172208,0.8299426,2.89578,55.84919,9.595788,20.19922,
31516.13,2.529804E-02,1.072689,3.588128,69.34936,24.77934,4.396441E-02,9.638247,19.71094,1.688069E-02,0.8288211,2.889564,55.68993,9.595788,20.19922,
31516.43,2.487156E-02,1.070248,3.579695,69.24567,24.75697,4.430334E-02,9.638247,19.71094,1.692071E-02,0.8262235,2.883679,55.57034,9.595788,20.19922,
31516.72,2.490228E-02,1.068223,3.572972,69.01496,24.75426,5.471342E-02,9.638247,19.71094,1.682668E-02,0.825062,2.877566,55.45074,9.595788,20.19922,
31517.02,2.463483E-02,1.064803,3.563805,68.87584,24.76576,2.939031E-02,9.638247,19.71094,1.686469E-02,0.8237289,2.874004,55.3418,9.595788,20.19922,
31517.33,2.514985E-02,1.064831,3.554087,68.6892,24.78883,5.113042E-02,9.638247,19.71094,1.748689E-02,0.8222641,2.86849,55.31575,9.595788,20.19922,
31517.62,2.438906E-02,1.058203,3.542377,68.44553,24.75864,-5.810275E-03,9.638247,19.71094,1.695672E-02,0.8192946,2.862134,55.14643,9.595788,20.19922,
31517.92,2.512997E-02,1.056483,3.533719,68.24247,24.75569,4.018773E-02,9.638247,19.71094,1.706675E-02,0.8184821,2.856595,55.00375,9.595788,20.19922,
31518.21,2.466916E-02,1.05301,3.527207,68.01435,24.76395,4.212449E-02,9.595788,19.71094,1.676266E-02,0.817498,2.854705,54.98717,9.595788,20.19922,
31518.49,2.451194E-02,1.053057,3.520413,68.04719,24.75517,4.125295E-02,9.638247,19.71094,0.0162705,0.816325,2.848094,54.83501,9.595788,20.19922,
31518.78,2.407281E-02,1.052024,3.521713,67.93486,24.75342,4.696639E-03,9.638247,19.71094,1.703674E-02,0.8143053,2.842363,54.82376,9.595788,20.19922,
31519.09,2.460049E-02,1.051093,3.51886,67.93918,24.81241,2.212746E-02,9.638247,19.71094,1.678266E-02,0.8134585,2.838495,54.70713,9.595788,20.19922,
31519.39,2.387222E-02,1.045342,3.500695,67.57453,24.761,2.430632E-02,9.638247,19.71094,1.679667E-02,0.8111126,2.833262,54.61951,9.595788,20.19922,
31519.68,2.448845E-02,1.045295,3.498859,67.59182,24.75411,-3.437746E-03,9.638247,19.71094,1.697472E-02,0.8103058,2.830492,54.47801,9.595788,20.19922,
31519.98,2.439087E-02,1.044153,3.499833,67.54688,24.73784,6.149207E-03,9.595788,19.71094,1.684668E-02,0.8086523,2.82383,54.43539,9.595788,20.19922,
31520.27,2.461133E-02,1.044411,3.494141,67.41209,24.77748,3.897726E-02,9.638247,19.71094,1.670464E-02,0.8069987,2.821315,54.32645,9.595788,20.19922,
31520.55,2.486794E-02,1.040237,3.489155,67.26606,24.75984,2.779248E-02,9.638247,19.71094,1.671664E-02,0.806438,2.817741,54.22935,9.595788,20.19922,
