LoggerLight version 1.3.0, 7/17/2018 4:55:26 PM, rapid sampling mode. Time is number of seconds past midnight of 7/17/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,0.0559035,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
60926.84,0.9169526,12.44647,33.52614,714.2907,25.8551,-1.592984E-02,9.638247,21.17579,0.7258693,9.87382,27.25528,578.7367,9.617018,22.15235,
60927.14,0.9111735,12.37407,33.19117,702.0778,25.86714,-0.0648814,9.638247,21.17579,0.7256052,9.885756,27.30456,580.4554,9.595788,22.15235,
60927.45,0.9129336,12.38277,33.20481,703.4257,25.85788,-4.110769E-02,9.638247,21.17579,0.7267936,9.895637,27.34927,581.9568,9.617018,22.15235,
60927.73,0.9139094,12.40904,33.38301,710.7696,25.85036,-4.870947E-02,9.638247,21.17579,0.7271777,9.900529,27.38446,583.3813,9.617018,22.15235,
60928.04,0.9210909,12.49669,33.78851,725.3898,25.85895,-2.561363E-02,9.638247,21.17579,0.7274338,9.905341,27.41786,584.6506,9.595788,22.15235,
60928.35,0.9218589,12.53717,34.06316,735.2568,25.8466,-4.619168E-02,9.638247,21.17579,0.72789,9.912979,27.45484,585.9756,9.617018,22.15235,
60928.64,0.9292591,12.6637,34.6501,756.7922,25.83955,-3.074604E-02,9.638247,21.17579,0.7286962,9.926167,27.51022,587.795,9.595788,22.15235,
60928.91,0.9299223,12.66427,34.57072,751.1221,25.88181,-2.716303E-02,9.638247,21.17579,0.7293284,9.933887,27.55752,589.5836,9.595788,22.15235,
60929.21,0.9244558,12.58937,34.50164,755.7925,25.89244,-6.97233E-03,9.638247,21.17579,0.7303067,9.947298,27.61107,591.3851,9.617018,22.15235,
60929.51,0.5739428,8.236588,24.42356,567.3347,25.857,-7.553357E-03,9.638247,21.17579,0.7313591,9.960572,27.67017,593.1897,9.617018,22.15235,
60929.8,0.6021609,8.340998,23.89054,548.6879,25.8308,-6.923911E-03,9.638247,21.17579,0.7319332,9.973063,27.72547,595.3643,9.595788,22.15235,
60930.1,0.716365,9.601665,26.11274,571.2352,25.86794,-1.191106E-02,9.638247,21.17579,0.7331296,9.985816,27.79588,597.7822,9.617018,22.15235,
60930.39,0.7797711,10.52004,28.38242,613.7203,25.89788,-2.624307E-02,9.638247,21.17579,0.7328796,9.99052,27.86571,600.6956,9.617018,22.15235,
60930.68,0.7928853,10.72827,28.95862,624.498,25.83449,-1.931916E-02,9.638247,21.17579,0.7337558,10.00382,27.95977,604.1378,9.595788,22.15235,
60930.98,0.8011312,10.84469,29.33777,634.6432,25.86123,-3.394169E-02,9.638247,21.17579,0.7351122,10.02629,28.07616,607.9357,9.595788,22.15235,
60931.27,0.8127039,10.99674,29.74083,642.9332,25.86943,-0.0536482,9.638247,21.17579,0.737465,10.05774,28.22042,612.5656,9.617018,22.15235,
