LoggerLight version 1.3.0, 7/18/2018 9:17:42 AM, rapid sampling mode. Time is number of seconds past midnight of 7/18/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.549521E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
33462.62,0.6330733,10.01177,21.90575,265.7939,23.29373,-3.573319E-02,9.638247,18.73438,0.5628653,8.989676,20.27399,245.5781,9.595788,19.71094,
33462.91,0.6438636,10.194,22.52533,279.3288,23.28871,-3.389327E-02,9.638247,18.73438,0.562097,8.980217,20.24737,245.269,9.595788,19.71094,
33463.21,0.6590126,10.40492,22.82781,279.0731,23.30936,-6.618871E-02,9.638247,18.73438,0.5623851,8.971303,20.2218,244.6657,9.595788,19.71094,
33463.52,0.6683969,10.57163,23.36152,289.3349,23.30754,-2.876086E-02,9.617018,18.73438,0.5624251,8.98064,20.26443,245.4626,9.595788,19.71094,
33463.8,0.6522649,10.31122,22.55602,272.8007,23.25999,4.841895E-04,9.638247,18.73438,0.562261,8.98428,20.27829,245.8534,9.595788,19.71094,
33464.09,0.6518655,10.34398,22.89702,283.2241,23.27761,-3.176283E-02,9.638247,18.73438,0.562025,8.979616,20.24477,245.2003,9.595788,19.71094,
33464.38,0.6482639,10.26504,22.49367,273.3641,23.29517,-0.0720474,9.638247,18.73438,0.5619029,8.974107,20.22236,244.4852,9.595788,19.71094,
33464.68,0.6532245,10.35573,22.76422,278.0431,23.27207,-1.626877E-02,9.638247,18.73438,0.5627172,8.982443,20.26494,245.3282,9.595788,19.71094,
33464.99,0.6452768,10.21947,22.53427,276.6925,23.3163,-3.365117E-02,9.638247,18.73438,0.562143,8.976012,20.24131,245.2767,9.595788,19.71094,
33465.27,0.6522703,10.32038,22.66778,277.0364,23.27446,-6.798021E-02,9.638247,18.73438,0.5630313,8.985418,20.24226,244.5763,9.595788,19.71094,
33465.58,0.6521276,10.31377,22.73135,279.7833,23.32899,-6.807705E-02,9.617018,18.73438,0.5639896,8.988611,20.23942,244.3869,9.595788,19.71094,
33465.9,0.6420511,10.17009,22.36081,273.8842,23.29017,-2.551679E-02,9.638247,18.73438,0.562231,8.97742,20.21866,244.1962,9.595788,19.71094,
33466.2,0.6528576,10.30203,22.59175,275.2149,23.29397,-6.676974E-02,9.638247,18.73438,0.5625731,8.98238,20.24598,244.6551,9.595788,19.71094,
33466.49,0.6572309,10.39999,23.00557,285.5234,23.29522,-3.631422E-02,9.638247,18.73438,0.5633734,8.98951,20.25921,245.0476,9.595788,19.71094,
33466.79,0.648882,10.27199,22.51606,273.422,23.29406,-3.612054E-02,9.638247,18.73438,0.562151,8.966754,20.19973,244.5467,9.595788,19.71094,
33467.1,0.6596867,10.44167,23.04394,284.3344,23.30887,-1.902865E-02,9.638247,18.73438,0.561959,8.964552,20.19105,243.9168,9.595788,19.71094,
33467.4,0.6461171,10.24517,22.60355,278.4025,23.27255,-5.011362E-02,9.638247,18.73438,0.5633994,8.977941,20.21728,244.0962,9.595788,19.71094,
33467.69,0.6551201,10.34205,22.72864,278.0457,23.31662,-3.771837E-02,9.638247,18.73438,0.5640756,8.992056,20.25142,244.6385,9.595788,19.71094,
33467.99,0.6542762,10.34729,22.76124,279.1275,23.35807,-1.370256E-02,9.638247,18.73438,0.5636975,8.993154,20.25344,244.9908,9.595788,19.71094,
33468.28,0.6384568,10.10555,22.24841,273.4496,23.28069,-3.394169E-02,9.638247,18.73438,0.5622931,8.975469,20.17988,243.3881,9.595788,19.71094,
33468.58,0.6537287,10.32296,22.7134,278.9365,23.30528,-7.044958E-02,9.638247,18.73438,0.5635455,8.978307,20.20006,243.3277,9.595788,19.71094,
33468.87,0.6548491,10.35963,22.68669,275.151,23.33275,-2.619465E-02,9.638247,18.73438,0.5645578,8.995322,20.25797,244.4632,9.595788,19.71094,
33469.17,0.6376219,10.07918,22.17431,272.1906,23.27935,-2.619465E-02,9.638247,18.73438,0.5634754,8.989676,20.22809,244.3602,9.595788,19.71094,
33469.48,0.6609662,10.45411,23.11474,286.6545,23.2784,-5.587547E-02,9.638247,18.73438,0.5629553,8.970725,20.16128,242.5361,9.595788,19.71094,
33469.78,0.6407391,10.14384,22.26118,271.5918,23.31097,-9.533692E-02,9.617018,18.73438,0.5639436,8.987221,20.23696,243.7931,9.617018,19.71094,
33470.09,0.6478411,10.25321,22.53349,274.9194,23.29585,-5.698911E-02,9.638247,18.73438,0.5642577,9.00811,20.32083,246.34,9.595788,19.22266,
33470.37,0.5108566,8.227242,18.55725,236.4661,23.31247,-1.496146E-02,9.638247,18.73438,0.5639636,8.995345,20.26102,245.1873,9.595788,19.71094,
33470.66,0.5738199,9.017738,19.55999,237.7242,23.29663,-3.849307E-02,9.638247,18.73438,0.5635054,8.9863,20.23031,244.1187,9.595788,19.22266,
33470.95,0.6194314,9.724109,21.24531,261.0051,23.31176,-4.643378E-02,9.638247,18.73438,0.5661883,9.014925,20.33867,246.2879,9.595788,19.71094,
33471.25,0.620747,9.787734,21.21476,253.8073,23.3362,-2.101383E-02,9.638247,18.73438,0.5655521,9.014633,20.34858,247.205,9.595788,19.71094,
33471.56,0.6299706,9.943866,21.76236,264.5677,23.30831,-4.275394E-02,9.638247,18.73438,0.5637015,8.996999,20.26129,245.2376,9.595788,19.71094,
33471.84,0.6279882,9.91688,21.72317,264.909,23.32438,-8.749305E-02,9.638247,18.73438,0.5645177,9.000661,20.26846,244.3739,9.595788,19.71094,
33472.15,0.6319005,9.966807,21.86257,267.2395,23.33242,-4.338338E-02,9.638247,18.73438,0.5664364,9.025733,20.35818,246.4898,9.595788,19.71094,
33472.43,0.6239908,9.844045,21.52102,261.3706,23.32174,-4.096244E-02,9.638247,18.73438,0.5668385,9.03498,20.36526,246.8634,9.595788,19.71094,
33472.72,0.6290525,9.916581,21.7853,267.6248,23.34527,-5.326085E-02,9.638247,18.73438,0.5660822,9.024755,20.30402,245.0594,9.595788,19.71094,
33473.02,0.6334999,9.995881,21.85404,265.4283,23.36072,-2.943872E-02,9.638247,18.73438,0.5678188,9.043224,20.35631,245.8102,9.595788,19.71094,
33473.3,0.6239746,9.842773,21.55315,262.8836,23.33329,-2.851876E-02,9.638247,18.73438,0.5678488,9.0531,20.37545,246.2808,9.595788,19.71094,
33473.61,0.6269653,9.883817,21.67715,265.5614,23.32284,-5.093674E-02,9.638247,18.73438,0.5673187,9.042171,20.32594,245.2483,9.595788,19.71094,
33473.89,0.634257,10.01073,21.96388,268.8838,23.34776,-5.272824E-02,9.617018,18.73438,0.5676247,9.038137,20.28581,243.9707,9.595788,19.71094,
33474.18,0.6231722,9.834521,21.43825,260.1203,23.38217,-5.800591E-02,9.638247,18.73438,0.5680229,9.045753,20.29789,243.7729,9.595788,19.71094,
33474.48,0.6432691,10.16186,22.48408,281.0682,23.4065,-4.096244E-02,9.638247,18.73438,0.568599,9.056911,20.35269,245.1246,9.595788,19.71094,
