LoggerLight version 1.3.0, 7/18/2018 12:01:55 PM, rapid sampling mode. Time is number of seconds past midnight of 7/18/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.612553E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
43315.64,4.456764,31.74847,88.39246,2217.25,23.77481,-3.694366E-02,9.617018,20.6875,3.755171,26.94605,74.00021,1786.8,9.595788,21.17579,
43315.95,4.645317,32.97341,91.61864,2287.529,23.7885,-3.737943E-02,9.617018,20.6875,3.756168,26.95401,73.99876,1785.759,9.595788,21.17579,
43316.25,4.410523,31.47589,87.91674,2213.337,23.78562,-1.428359E-02,9.617018,20.6875,3.75854,26.97067,74.05265,1786.7,9.595788,21.17579,
43316.57,4.602177,32.62804,90.72263,2272.31,23.74249,-1.128162E-02,9.617018,20.6875,3.75757,26.9635,73.98203,1784.215,9.595788,21.17579,
43316.87,4.382144,31.32409,87.39075,2195.195,23.78093,-4.483595E-02,9.617018,20.6875,3.75687,26.95899,73.97644,1783.494,9.595788,21.17579,
43317.16,4.584175,32.57241,90.50402,2263.302,23.79512,-1.554248E-02,9.617018,20.6875,3.760097,26.97757,74.07063,1786.17,9.595788,21.17579,
43317.46,4.384516,31.32005,87.34814,2192.521,23.78993,-2.575888E-02,9.617018,20.6875,3.761996,26.9896,74.02272,1783.07,9.595788,21.17579,
43317.75,4.544892,32.30251,89.79854,2247.121,23.81515,-0.0380573,9.617018,20.6875,3.762222,26.99652,74.01905,1781.466,9.595788,21.17579,
43318.04,4.415915,31.54339,88.0241,2209.019,23.78862,-2.992291E-02,9.617018,20.6875,3.759697,26.97767,74.05931,1785.79,9.595788,21.17579,
43318.33,4.486195,31.91197,88.88831,2230.738,23.77199,-3.253754E-02,9.617018,20.6875,3.757604,26.96404,74.03006,1785.618,9.595788,21.17579,
43318.61,4.454173,31.7906,88.71962,2225.551,23.78661,-2.977766E-02,9.617018,20.6875,3.7566,26.95461,74.00729,1785.347,9.595788,21.17579,
43318.93,4.572387,32.49344,90.49603,2269.134,23.77435,-5.761855E-02,9.617018,20.6875,3.756534,26.95305,74.00408,1785.068,9.595788,21.17579,
43319.2,4.384901,31.28534,87.32758,2196.06,23.81605,-3.965512E-02,9.617018,20.6875,3.757316,26.95991,73.99955,1784.534,9.595788,21.17579,
43319.52,4.60483,32.76737,91.04146,2270.213,23.80833,-1.365415E-02,9.617018,20.6875,3.758082,26.96067,73.99044,1783.965,9.595788,21.17579,
43319.8,4.429748,31.52208,87.71951,2200.526,23.77496,-2.488734E-02,9.617018,20.6875,3.757872,26.96219,73.97083,1782.675,9.595788,21.17579,
