LoggerLight version 1.3.0, 7/23/2018 6:33:54 AM, rapid sampling mode. Time is number of seconds past midnight of 7/23/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.634666E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
23634.95,0.0109839,1.183889,6.318059,134.6358,22.93697,-9.335174E-02,9.595788,19.71094,5.417031E-03,0.8028391,4.629231,95.41017,9.595788,20.19922,
23635.24,1.123328E-02,1.183311,6.310785,134.6151,22.95755,-4.899998E-02,9.638247,19.71094,5.561077E-03,0.8015403,4.615842,95.01232,9.595788,20.19922,
23635.54,1.164711E-02,1.187234,6.330433,135.4023,22.9986,-0.0725316,9.638247,19.71094,5.533068E-03,0.7982618,4.60415,94.71037,9.595788,20.19922,
23635.83,1.140496E-02,1.185928,6.302876,134.6333,23.01611,-7.761558E-02,9.638247,19.71094,4.770824E-03,0.7987538,4.599836,94.57066,9.595788,20.19922,
23636.13,1.151338E-02,1.186601,6.299867,134.5987,23.026,-7.374207E-02,9.638247,19.71094,5.465046E-03,0.7965224,4.587902,94.31844,9.595788,20.19922,
23636.42,1.150977E-02,1.180171,6.273157,133.802,23.09267,-5.214721E-02,9.638247,19.71094,5.25898E-03,0.7965453,4.586217,94.25568,9.595788,20.19922,
23636.72,1.098028E-02,1.172075,6.231064,132.9224,23.07616,-6.546243E-02,9.638247,19.71094,5.707123E-03,0.797558,4.583958,94.1503,9.595788,20.19922,
23637.01,1.107426E-02,1.172007,6.212773,132.8342,23.0967,-0.0845395,9.638247,19.71094,5.563078E-03,0.7983934,4.595611,94.42323,9.595788,20.19922,
23637.3,1.168687E-02,1.165624,6.183845,132.2043,23.10583,-7.296737E-02,9.638247,19.71094,5.993215E-03,0.8002815,4.602236,94.38475,9.595788,20.19922,
23637.6,0.0118224,1.165006,6.197843,132.7409,23.09692,-5.853852E-02,9.638247,19.71094,5.577082E-03,0.8011627,4.606078,94.52033,9.595788,20.19922,
23637.91,1.130918E-02,1.163986,6.172079,131.914,23.11346,-8.613732E-02,9.638247,19.71094,5.937197E-03,0.8012542,4.607048,94.56651,9.595788,20.19922,
23638.19,1.106341E-02,1.164258,6.177856,132.0566,23.10112,-2.469367E-02,9.638247,19.71094,5.681115E-03,0.8033769,4.611757,94.54934,9.595788,20.19922,
23638.48,1.220009E-02,1.165978,6.18482,131.9036,23.10088,-4.837054E-02,9.638247,19.71094,5.753138E-03,0.8028105,4.613034,94.63045,9.595788,20.19922,
23638.78,1.153507E-02,1.165903,6.177997,131.6971,23.08505,-3.292489E-03,9.638247,19.71094,5.859172E-03,0.8042809,4.616608,94.54816,9.595788,20.19922,
23639.09,0.0112116,1.167874,6.191882,132.0436,23.14042,-4.706322E-02,9.638247,19.71094,5.839166E-03,0.803932,4.620003,94.54697,9.595788,20.19922,
23639.41,1.195432E-02,1.167602,6.183916,131.812,23.1273,-3.888042E-02,9.638247,19.71094,5.647104E-03,0.8056771,4.621407,94.68906,9.595788,20.19922,
