LoggerLight version 1.3.0, 7/26/2018 11:43:39 AM, rapid sampling mode. Time is number of seconds past midnight of 7/26/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,0.0553608,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
42219.33,4.03486,24.63607,58.16525,1229.333,21.54681,-0.3149653,9.617018,19.22266,2.97536,18.22325,40.88219,782.532,9.595788,21.17579,
42219.65,4.062004,24.76879,58.57335,1242.421,21.59832,-0.2863497,9.617018,19.22266,2.976585,18.2351,40.90451,782.9844,9.595788,21.17579,
42219.95,4.031196,24.66534,58.47945,1242.097,21.59057,-0.2983576,9.617018,19.22266,2.975352,18.22341,40.86537,782.4326,9.595788,21.17579,
42220.24,4.113014,25.11255,59.47798,1261.199,21.59536,-0.2636896,9.617018,19.22266,2.971415,18.1992,40.79557,780.6121,9.595788,21.17579,
42220.53,4.010384,24.47235,57.73613,1220.663,21.57469,-0.3060562,9.617018,19.22266,2.97535,18.22398,40.8704,781.9832,9.595788,21.17579,
42220.83,4.031919,24.62993,58.25647,1234.497,21.56307,-0.2926442,9.617018,19.22266,2.979199,18.2496,40.9441,784.1158,9.595788,21.17579,
42221.14,4.019774,24.51205,57.95931,1229.543,21.56963,-0.2539574,9.617018,19.22266,2.979786,18.2533,40.9498,784.3656,9.595788,21.17579,
42221.44,4.05552,24.75703,58.52871,1239.141,21.61194,-0.2477114,9.617018,19.22266,2.97952,18.24695,40.92571,783.6172,9.595788,21.17579,
42221.73,4.022192,24.5388,58.04821,1231.65,21.61009,-0.275988,9.617018,19.22266,2.979065,18.24654,40.92021,783.3325,9.617018,21.17579,
42222.03,4.062201,24.82411,58.90946,1252.741,21.62599,-0.2504713,9.617018,19.22266,2.977045,18.23584,40.87367,782.4202,9.595788,21.17579,
42222.32,4.023137,24.55808,58.14935,1234.09,21.63745,-0.2596709,9.617018,19.22266,2.972701,18.20185,40.75935,779.1769,9.595788,21.17579,
42222.62,4.025063,24.57853,58.14296,1231.509,21.64608,-0.2728892,9.617018,19.22266,2.97979,18.24243,40.92417,782.5007,9.595788,21.17579,
42222.91,4.041694,24.66145,58.42944,1240.673,21.62394,-0.2614624,9.617018,19.22266,2.991754,18.32287,41.1764,789.7296,9.595788,21.17579,
42223.2,4.058041,24.80532,58.79897,1246.863,21.61684,-0.2782153,9.617018,19.22266,2.987674,18.30038,41.05126,787.6082,9.595788,21.17579,
42223.5,4.055594,24.733,58.51747,1240.323,21.60806,-0.2545384,9.617018,19.22266,2.974078,18.20795,40.72404,778.0071,9.595788,21.17579,
42223.82,4.062848,24.81646,58.68705,1241.036,21.61708,-0.2700809,9.617018,19.22266,2.975774,18.21707,40.79473,777.8881,9.595788,21.17579,
42224.11,4.098978,25.00207,59.14524,1251.444,21.58713,-0.2486313,9.617018,19.22266,2.992534,18.32572,41.18335,788.7964,9.595788,21.17579,
42224.41,4.052735,24.75978,58.48669,1233.613,21.59928,-0.2697904,9.617018,19.22266,2.990701,18.32377,41.139,790.067,9.595788,21.17579,
42224.7,4.094834,24.94692,58.7905,1238.668,21.61205,-0.2275691,9.617018,19.22266,2.974064,18.20926,40.75417,779.2533,9.595788,21.17579,
42224.99,4.044271,24.65959,57.95549,1216.167,21.60056,-0.2309584,9.617018,19.22266,2.977701,18.22183,40.82963,779.1041,9.595788,21.17579,
42225.29,4.110474,25.0422,59.03296,1244.011,21.62896,-0.2281985,9.617018,19.22266,2.993486,18.32463,41.18414,788.7497,9.595788,21.17579,
42225.58,4.10572,25.06366,59.22456,1249.795,21.66545,-0.2353645,9.617018,19.22266,2.997946,18.36093,41.28527,793.1675,9.595788,21.17579,
42225.88,4.091525,24.96507,58.84791,1238.587,21.65166,-0.2233566,9.617018,19.22266,2.981704,18.25854,40.89135,783.5764,9.595788,21.17579,
42226.17,4.123015,25.11831,59.09068,1242.087,21.62739,-0.2604456,9.617018,19.22266,2.966059,18.15143,40.55209,772.4359,9.595788,21.17579,
42226.48,4.088597,24.92757,58.5956,1230.152,21.63959,-0.2764722,9.617018,19.22266,2.979081,18.227,40.86732,778.9129,9.595788,21.17579,
42226.76,4.149788,25.30197,59.67813,1257.102,21.61469,-0.2632539,9.617018,19.22266,3.002563,18.37555,41.3686,793.4967,9.595788,21.17579,
42227.05,4.085939,24.9113,58.61839,1231.288,21.64046,-0.2209841,9.617018,19.22266,3.003139,18.39038,41.36793,795.592,9.595788,21.17579,
42227.35,4.095065,24.9464,58.56332,1227.629,21.68281,-0.2564752,9.617018,19.22266,2.984689,18.27294,40.92972,784.008,9.617018,21.17579,
42227.66,4.137111,25.17863,59.28643,1249.674,21.63011,-0.2922568,9.617018,19.22266,2.974964,18.20122,40.71077,775.7638,9.595788,21.17579,
42227.93,4.108783,25.10257,59.3608,1254.269,21.66236,-0.3099782,9.617018,19.22266,2.983623,18.25454,40.91761,780.4279,9.595788,21.17579,
42228.23,4.150953,25.29865,59.26071,1252.444,21.66434,-0.2800552,9.617018,19.22266,2.990761,18.29204,41.05252,784.5746,9.595788,21.17579,
42228.53,4.077126,24.84982,58.37453,1222.755,21.64815,-0.2611718,9.617018,19.22266,2.995559,18.3355,41.18521,788.9137,9.595788,21.17579,
42228.84,4.157506,25.31377,59.43326,1243.582,21.59809,-0.2578793,9.617018,19.22266,2.999046,18.35418,41.24216,790.3423,9.595788,21.17579,
42229.16,4.102854,24.98268,58.63307,1227.245,21.58566,-0.2241798,9.617018,19.22266,2.996497,18.3408,41.17005,788.9415,9.617018,21.17579,
42229.46,4.181134,25.50655,60.12609,1263.152,21.6303,-0.229409,9.617018,19.22266,2.985131,18.26675,40.91602,781.6339,9.595788,21.17579,
42229.75,4.120358,25.09394,58.94954,1234.815,21.62676,-0.2306679,9.617018,19.22266,2.990653,18.29329,41.03603,783.2271,9.595788,21.17579,
42230.05,4.150979,25.28874,59.32646,1238.402,21.62336,-0.2221946,9.617018,19.22266,3.001498,18.36763,41.28537,790.4453,9.617018,21.17579,
42230.34,4.130152,25.11702,58.71256,1221.574,21.61185,-0.2230177,9.617018,19.22266,3.003211,18.3828,41.30761,791.8668,9.595788,21.17579,
42230.64,4.158782,25.31644,59.32078,1238.386,21.62317,-0.2578793,9.617018,19.22266,2.998606,18.34734,41.18367,788.4424,9.595788,21.17579,
42230.93,4.168593,25.39363,59.74314,1252.961,21.64955,-0.233912,9.617018,19.22266,2.999104,18.35115,41.21135,788.4803,9.595788,21.17579,
42231.21,2.928354,18.50277,44.22531,937.8441,21.65229,-0.2074752,9.617018,19.22266,3.002577,18.37225,41.25793,790.0842,9.595788,21.17579,
