LoggerLight version 1.3.0, 4/29/2024 3:29:27 PM, rapid sampling mode. Time is number of seconds past midnight of 4/29/2024, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.412847E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
55767.29,1.042854,10.40291,31.91706,784.0998,11.60132,-0.1761966,9.617018,18.73438,1.132843,11.81371,34.19875,793.2723,9.595788,18.73438,
55767.59,1.048004,10.43275,31.99779,787.1042,11.58697,-0.2010839,9.617018,18.73438,1.133528,11.82578,34.23635,793.9342,9.595788,18.73438,
55767.86,1.043868,10.40552,31.93726,785.154,11.55481,-0.1617193,9.617018,19.22266,1.13632,11.84478,34.28522,794.7128,9.595788,18.73438,
55768.15,1.045935,10.41553,31.96692,786.5555,11.5764,-0.1596857,9.617018,18.73438,1.139313,11.86791,34.33833,795.6144,9.595788,18.73438,
55768.45,1.050467,10.47568,32.14278,790.0723,11.53748,-0.159831,9.617018,19.22266,1.139545,11.8793,34.37185,796.1201,9.595788,18.73438,
55768.74,1.050195,10.46824,32.11916,789.9928,11.57981,-0.18283,9.617018,19.22266,1.140324,11.89083,34.3998,796.9134,9.595788,18.73438,
55769.04,1.052379,10.49511,32.18767,790.3151,11.55071,-0.1743567,9.617018,18.73438,1.140428,11.88991,34.40514,797.364,9.595788,18.73438,
55769.32,1.051751,10.48623,32.17312,790.7152,11.57644,-0.1632203,9.617018,18.73438,1.14109,11.89825,34.43163,798.0187,9.595788,18.73438,
55769.61,1.042778,10.40179,31.90061,783.6116,11.59321,-0.1620582,9.617018,18.73438,1.141306,11.90671,34.45826,798.5664,9.595788,18.73438,
55769.91,1.048548,10.45127,32.07204,788.7753,11.57131,-0.1820069,9.617018,18.73438,1.141576,11.91269,34.4789,798.9583,9.595788,18.73438,
55770.21,1.037852,10.35416,31.76487,781.0997,11.58191,-0.1842341,9.617018,18.73438,1.142006,11.91496,34.48501,799.4106,9.595788,18.73438,
55770.52,1.04229,10.38715,31.88061,784.2571,11.5691,-0.1976462,9.617018,18.73438,1.142689,11.91729,34.49442,799.635,9.595788,18.73438,
55770.81,1.031516,10.28649,31.5652,776.6895,11.57994,-0.19508,9.617018,18.73438,1.142692,11.91858,34.50357,800.0707,9.595788,18.73438,
55771.09,1.033564,10.30563,31.61709,778.0504,11.53033,-0.200164,9.617018,18.73438,1.143095,11.92113,34.51327,800.4355,9.595788,18.73438,
